Year,Elevation,Volume
2018,241,156.4152821
2018,242,169.8534093
2018,243,184.0452627
2018,244,199.0531194
2018,245,215.0419395
2018,246,231.9434075
2018,247,249.6704377
2018,248,268.2408803
2018,249,287.7181456
2018,250,308.3336668
2018,251,330.3601401
2018,252,353.659736
2018,253,378.0350124
2018,254,403.4418294
2018,255,429.853697
2018,256,457.556184
2018,257,486.4693221
2018,258,516.5730418
2018,259,547.7545266
2018,260,579.9130294
2018,261,613.131547
2018,262,647.3774657
2018,263,682.7622184
2018,264,723.1050078
2018,265,760.9059332
2018,266,799.7843289
2018,267,839.7835448
2018,268,881.1702717
2018,269,924.0618851
2018,270,968.488621
2018,271,1014.454391
2018,271.8,1052.446299
