Year,X,Y,Z
2018,354023.6603,4066632.71,280.2955933
2018,354122.9253,4066644.812,270.7036438
2018,354222.1903,4066656.915,250.7029572
2018,354321.4552,4066669.017,246.7950592
2018,354420.7202,4066681.119,233.6075134
2018,354519.9852,4066693.221,227.9999237
2018,354619.2502,4066705.323,227.7153168
2018,354718.5152,4066717.425,227.3952637
2018,354817.7802,4066729.528,227.0002594
2018,354917.0451,4066741.63,224.1980896
2018,355016.3101,4066753.732,226.863205
2018,355115.5751,4066765.834,227.2980194
2018,355214.8401,4066777.936,227.425766
2018,355314.1051,4066790.039,227.3851166
2018,355413.3701,4066802.141,226.7830048
2018,355512.635,4066814.243,226.3193817
2018,355611.9,4066826.345,232.5223694
2018,355711.165,4066838.447,243.5478668
2018,355810.43,4066850.55,248.5822601
2018,355909.695,4066862.652,262.8469543
2018,356008.96,4066874.754,276.361908
2018,356108.2249,4066886.856,273.1034546
2018,356207.4899,4066898.958,281.1998291
2018,356234.3428,4066902.232,282.7950439
2018,354023.6603,4066632.71,280.2955933
2018,354122.9253,4066644.812,270.7036438
2018,354222.1903,4066656.915,250.7029572
2018,354321.4552,4066669.017,246.7950592
2018,354420.7202,4066681.119,233.6075134
2018,354519.9852,4066693.221,227.9999237
2018,354619.2502,4066705.323,227.7153168
2018,354718.5152,4066717.425,227.3952637
2018,354817.7802,4066729.528,227.0002594
2018,354917.0451,4066741.63,224.1980896
2018,355016.3101,4066753.732,226.863205
2018,355115.5751,4066765.834,227.2980194
2018,355214.8401,4066777.936,227.425766
2018,355314.1051,4066790.039,227.3851166
2018,355413.3701,4066802.141,226.7830048
2018,355512.635,4066814.243,226.3193817
2018,355611.9,4066826.345,232.5223694
2018,355711.165,4066838.447,243.5478668
2018,355810.43,4066850.55,248.5822601
2018,355909.695,4066862.652,262.8469543
2018,356008.96,4066874.754,276.361908
2018,356108.2249,4066886.856,273.1034546
2018,356207.4899,4066898.958,281.1998291
2018,356234.3428,4066902.232,282.7950439
2018,354012.377,4066530.598,276.8338928
2018,354111.6388,4066542.727,266.3553772
2018,354210.9005,4066554.856,257.630188
2018,354310.1622,4066566.985,262.7375488
2018,354409.4239,4066579.114,237.9337769
2018,354508.6856,4066591.243,228.20961
2018,354607.9474,4066603.372,227.9985962
2018,354707.2091,4066615.5,227.7897949
2018,354806.4708,4066627.629,227.4838409
2018,354905.7325,4066639.758,226.1081543
2018,355004.9943,4066651.887,226.062973
2018,355104.256,4066664.016,227.6013794
2018,355203.5177,4066676.145,227.8977661
2018,355302.7794,4066688.274,227.9830322
2018,355402.0411,4066700.403,227.3285522
2018,355501.3029,4066712.532,227
2018,355600.5646,4066724.661,232.993454
2018,355699.8263,4066736.79,245.5883331
2018,355799.088,4066748.918,257.2079773
2018,355898.3498,4066761.047,253.2537537
2018,355997.6115,4066773.176,256.3503113
2018,356096.8732,4066785.305,271.7877502
2018,356196.1349,4066797.434,279.1401367
2018,356263.447,4066805.659,280.6599426
2018,353973.4737,4066425.981,282.0966797
2018,354072.7438,4066438.041,281.1607056
2018,354172.014,4066450.101,268.3775024
2018,354271.2841,4066462.161,274.7031555
